country;continent;year;lifeExp;pop;gdpPercap
Brazil;Americas;1952;50.917;56602600;2108.94
Brazil;Americas;1957;53.285;65551200;2487.37
Brazil;Americas;1962;55.665;76039400;3336.59
Brazil;Americas;1967;57.632;88049800;3429.86
Brazil;Americas;1972;59.504;100840000;4985.71
Brazil;Americas;1977;61.489;114314000;6660.12
Brazil;Americas;1982;63.336;128963000;7030.84
Brazil;Americas;1987;65.205;142938000;7807.1
Brazil;Americas;1992;67.057;155976000;6950.28
Brazil;Americas;1997;69.388;168547000;7957.98
Brazil;Americas;2002;71.006;179914000;8131.21
Brazil;Americas;2007;72.39;190011000;9065.8
